Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Male,21,Croatia,Arts and Entertainment,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,45,Saint Vincent and the Grenadines,Health and Wellness,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,34,Dominican Republic,Public Service and Non-Profit,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,18,Hungary,Tech and Engineering,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,48,Korea,Arts and Entertainment,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,61,Trinidad and Tobago,Tech and Engineering,Some College,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,37,Montenegro,Business and Finance,High School Graduate,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,56,Saudi Arabia,Public Service and Non-Profit,Some College,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,41,Rwanda,Business and Finance,College Degree,Entrepreneurship and Business,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,48,Iran,Business and Finance,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,56,Mali,Trades and Services,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,39,Saudi Arabia,Health and Wellness,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,50,Saint Pierre and Miquelon,Tech and Engineering,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,38,Zambia,Arts and Entertainment,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,28,Kuwait,Business and Finance,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,22,Algeria,Tech and Engineering,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,37,Kuwait,Health and Wellness,Some College,Literature and Writing,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,30,Lithuania,Business and Finance,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,25,Dominican Republic,Public Service and Non-Profit,High School Graduate,Science and Technology,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,60,Pakistan,Public Service and Non-Profit,High School Graduate,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,60,Lithuania,Business and Finance,Some College,Entrepreneurship and Business,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,22,Benin,Public Service and Non-Profit,College Degree,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,63,Australia,Business and Finance,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,18,Grenada,Public Service and Non-Profit,Some College,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,44,British Virgin Islands,Health and Wellness,Some High School,Entrepreneurship and Business,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,46,Turkmenistan,Tech and Engineering,Some High School,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,35,Belarus,Tech and Engineering,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,69,Bhutan,Health and Wellness,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,61,Tunisia,Arts and Entertainment,High School Graduate,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,60,Hong Kong,Education and Research,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,58,Guyana,Health and Wellness,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,21,Western Sahara,Tech and Engineering,Post-Graduate Degree,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,25,Uzbekistan,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,39,Belgium,Tech and Engineering,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,18,Malta,Health and Wellness,Some High School,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,24,China,Arts and Entertainment,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,47,Nauru,Tech and Engineering,College Degree,Science and Technology,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,64,Albania,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,64,Honduras,Education and Research,High School Graduate,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,56,Central African Republic,Trades and Services,Some College,Film and Television,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,54,Sierra Leone,Trades and Services,High School Graduate,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,66,Pakistan,Business and Finance,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,26,Eritrea,Education and Research,College Degree,Science and Technology,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,62,Christmas Island,Public Service and Non-Profit,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,57,Tonga,Tech and Engineering,College Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,21,Georgia,Public Service and Non-Profit,High School Graduate,Literature and Writing,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,27,Sierra Leone,Education and Research,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,36,Trinidad and Tobago,Public Service and Non-Profit,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,34,Kuwait,Arts and Entertainment,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,42,Rwanda,Health and Wellness,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,27,Algeria,Business and Finance,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,61,Pakistan,Arts and Entertainment,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,51,Pakistan,Public Service and Non-Profit,College Degree,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,31,India,Business and Finance,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,46,Lao People's Democratic Republic,Arts and Entertainment,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,43,Guinea-Bissau,Tech and Engineering,Post-Graduate Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,21,Chile,Public Service and Non-Profit,Post-Graduate Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,28,Uzbekistan,Education and Research,High School Graduate,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,29,Belgium,Education and Research,Post-Graduate Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,33,Antigua and Barbuda,Health and Wellness,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,53,Jamaica,Health and Wellness,High School Graduate,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,39,Iceland,Education and Research,High School Graduate,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,41,United Arab Emirates,Arts and Entertainment,Some College,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,33,Venezuela,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,32,Guinea,Health and Wellness,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,38,Spain,Education and Research,College Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Non-binary/Prefer not to say,56,Gibraltar,Health and Wellness,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,18,Guam,Health and Wellness,Some College,Literature and Writing,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,53,South Georgia and the South Sandwich Islands,Trades and Services,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,20,Brunei Darussalam,Tech and Engineering,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,46,Micronesia,Education and Research,Post-Graduate Degree,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,55,Romania,Health and Wellness,Some High School,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,52,Morocco,Education and Research,College Degree,Science and Technology,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,66,Netherlands Antilles,Trades and Services,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,68,Serbia,Public Service and Non-Profit,Some College,Science and Technology,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,27,Gabon,Public Service and Non-Profit,Post-Graduate Degree,Entrepreneurship and Business,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,48,Estonia,Education and Research,Some College,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Non-binary/Prefer not to say,48,Mauritania,Health and Wellness,Post-Graduate Degree,Entrepreneurship and Business,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Non-binary/Prefer not to say,67,Anguilla,Education and Research,Some College,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,55,Gibraltar,Tech and Engineering,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,54,Mozambique,Health and Wellness,College Degree,Literature and Writing,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,58,Sierra Leone,Tech and Engineering,Post-Graduate Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,52,Bhutan,Health and Wellness,High School Graduate,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,68,Ecuador,Education and Research,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,62,Costa Rica,Business and Finance,High School Graduate,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,30,Portugal,Health and Wellness,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,60,Cayman Islands,Health and Wellness,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,20,Peru,Health and Wellness,Some College,Politics and Social Activism,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,27,Thailand,Arts and Entertainment,Some High School,Science and Technology,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,34,Togo,Education and Research,Some College,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,56,Sierra Leone,Tech and Engineering,Some High School,Literature and Writing,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,54,Malaysia,Business and Finance,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,51,Norfolk Island,Public Service and Non-Profit,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,20,Yemen,Tech and Engineering,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,68,Monaco,Student / Retired / Unemployed / Prefer not to say,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,30,Lithuania,Tech and Engineering,Some College,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,41,Falkland Islands (Malvinas),Education and Research,Some High School,Literature and Writing,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,62,Hong Kong,Trades and Services,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,53,Brunei Darussalam,Arts and Entertainment,Some College,Science and Technology,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,49,Nigeria,Arts and Entertainment,College Degree,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,48,Bulgaria,Education and Research,Some High School,Sports and Athletics,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,50,Afghanistan,Trades and Services,Some College,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,36,Micronesia,Education and Research,College Degree,Science and Technology,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,61,British Indian Ocean Territory (Chagos Archipelago),Education and Research,High School Graduate,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,23,French Polynesia,Public Service and Non-Profit,Post-Graduate Degree,Music and Performing Arts,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,64,Australia,Tech and Engineering,Some High School,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,26,Cocos (Keeling) Islands,Public Service and Non-Profit,Some High School,Music and Performing Arts,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,40,Turkmenistan,Health and Wellness,Some College,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,33,Canada,Tech and Engineering,High School Graduate,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,35,Canada,Education and Research,College Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,69,Algeria,Health and Wellness,High School Graduate,Literature and Writing,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,21,Faroe Islands,Education and Research,College Degree,Science and Technology,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,22,Kuwait,Arts and Entertainment,College Degree,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,41,Italy,Business and Finance,High School Graduate,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,40,Timor-Leste,Student / Retired / Unemployed / Prefer not to say,Some College,Politics and Social Activism,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Non-binary/Prefer not to say,47,Spain,Tech and Engineering,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,21,Panama,Tech and Engineering,Some High School,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,57,Tuvalu,Arts and Entertainment,Some College,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,35,Bahamas,Tech and Engineering,College Degree,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,49,Bermuda,Education and Research,Some College,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,25,Central African Republic,Education and Research,College Degree,Politics and Social Activism,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,51,Albania,Tech and Engineering,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,18,Seychelles,Tech and Engineering,High School Graduate,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,28,British Indian Ocean Territory (Chagos Archipelago),Health and Wellness,Some College,Film and Television,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,26,United Arab Emirates,Education and Research,Some College,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,21,Anguilla,Trades and Services,Post-Graduate Degree,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,20,Pakistan,Education and Research,College Degree,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,22,Kazakhstan,Tech and Engineering,Some College,Science and Technology,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,47,Timor-Leste,Business and Finance,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,69,Oman,Health and Wellness,Some High School,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,54,Faroe Islands,Education and Research,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,53,Latvia,Business and Finance,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,57,France,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,40,Chad,Health and Wellness,College Degree,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,49,Guadeloupe,Education and Research,Post-Graduate Degree,Sports and Athletics,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,38,Saint Vincent and the Grenadines,Trades and Services,Some High School,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,59,Cocos (Keeling) Islands,Tech and Engineering,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,28,Kiribati,Trades and Services,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Achieving financial security
Male,62,Uzbekistan,Education and Research,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,25,Christmas Island,Tech and Engineering,Post-Graduate Degree,Music and Performing Arts,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,20,Zambia,Business and Finance,Some High School,Science and Technology,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,61,Sierra Leone,Business and Finance,College Degree,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,32,Fiji,Trades and Services,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,37,Kazakhstan,Business and Finance,High School Graduate,Film and Television,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,61,Marshall Islands,Arts and Entertainment,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,59,Moldova,Arts and Entertainment,High School Graduate,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,41,Panama,Tech and Engineering,Some College,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,57,Montserrat,Business and Finance,College Degree,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,48,Bermuda,Education and Research,Post-Graduate Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,35,Montenegro,Health and Wellness,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,51,Czech Republic,Tech and Engineering,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,39,Tuvalu,Arts and Entertainment,Some College,Sports and Athletics,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,50,British Virgin Islands,Health and Wellness,Some College,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,35,Bulgaria,Student / Retired / Unemployed / Prefer not to say,Some College,Science and Technology,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,32,Niger,Education and Research,Post-Graduate Degree,Literature and Writing,Reading or writing,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,34,Gabon,Student / Retired / Unemployed / Prefer not to say,Some College,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,54,Lithuania,Public Service and Non-Profit,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,43,Zambia,Public Service and Non-Profit,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,61,Gabon,Tech and Engineering,Post-Graduate Degree,Film and Television,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,21,British Virgin Islands,Business and Finance,High School Graduate,Literature and Writing,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,35,Yemen,Arts and Entertainment,Post-Graduate Degree,Science and Technology,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,48,Guinea-Bissau,Health and Wellness,Some College,Entrepreneurship and Business,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,25,Sao Tome and Principe,Health and Wellness,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,20,Saint Pierre and Miquelon,Trades and Services,High School Graduate,Literature and Writing,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,66,Taiwan,Education and Research,Some College,Science and Technology,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,66,Zambia,Public Service and Non-Profit,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Male,23,Jamaica,Tech and Engineering,Post-Graduate Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,34,Croatia,Arts and Entertainment,Some College,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,59,Albania,Tech and Engineering,College Degree,Politics and Social Activism,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,66,South Africa,Business and Finance,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,58,Sao Tome and Principe,Arts and Entertainment,Post-Graduate Degree,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
